id,GraphLarge3,GraphLarge5,GraphLarge7,GraphSmall3,GraphSmall5,GraphSmall7,NumberLarge3,NumberLarge5,NumberLarge7,NumberSmall3,NumberSmall5,NumberSmall7
u103,1113.8068,971.4664,1071.3792,829.8506,1039.3956,1103.7538,1102.0734,1313.0432,1877.4454,1139.1772,1456.3284,2375.3254
u107,815.2534,1006.8962,1001.4904,911.2544,949.9492,1291.7648,1249.0382,1894.4884,2177.3687,1341.9628,2300.888,3005.8503
u110,738.6438,791.325,852.9484,759.4424,1297.1995,1321.2758,1032.2606,1679.303,1662.7606,1179.0505,1814.7784,2566.1274
u112,879.4,779.8,818.2,871.2,869,1339,1029.2,1624.4,1531.4,1031.4,1738.8,1669.2
u113,913.3498,1411.1068,1281.5258,970.8382,1917.388,2153.5178,1363.1514,1583.7534,1697.2678,1431.3362,2140.6528,3011.6538
u117,867.8,878,992,772.8,1200,1176,1131.8,1221.8,1765.6,1124.2,1629.8,2093.6
u121,889,956.6,954.6,911,1189,1204.6,1266,1592.6,1733.8,1086,1183.2,1864.4
u125,1175.0677,1234.2826,1312.4318,1472.873,1175.0702,1427.2424,1351.1334,1940.4904,2613.0645,1475.9648,1456.0927,2537.3455
u129,865.6,967.4,1243.6,1011.2,1069,1354.4,1535.8,1790.2,2048.2,1737.6,1770.2,3122.8
u130,893.09503,1001.049,1010.1608,902.0088,907.8842,1205.4421,1310.7472,1586.233,2093.0442,1417.6542,1933.5103,3183.61
u131,880.712,977.7914,1096.9796,991.5882,1128.204,1479.1954,1065.6462,1555.0796,1915.1752,1269.1492,1748.6666,2134.8613
u132,705.4698,782.3754,935.1618,845.976,857.9614,1058.9398,1128.6538,1814.2297,1680.49,1316.6127,1684.7986,2628.433
u138,692.38116,930.2984,920.8404,815.0898,888.25,1100.5792,1187.1166,2016.945,2197.3083,1445.42,1762.98,2485.6753
u141,932.6216,1005.9296,1221.5958,1124.3986,1540.3494,2017.1196,1184.5398,1822.6328,2614.3386,1171.9722,1836.77,2971.9285
u142,894.4,1045,1082.6,860.6,1318.2,979.6,1170.6,1676.8,2227.4,1296,1746.6,2160.2
u144,613.6172,684.092,922.94403,756.945,1154.7118,1048.3079,864.7226,1562.9489,1250.3008,1216.8362,1708.2798,1567.462
u201,1018,1188,1168.2,1089,1317,1391.8,1344,1911,1893.8,1367.8,2034.4,2019.8
u204,947.0846,1034.9542,1145.8856,962.00824,1223.6654,1104.1852,1294.175,1891.5908,1822.5204,1486.2343,1773.8668,2582.1145
u205,646,693.4,834.8,779,865.8,898.6,1035,1303,1505.4,1610.8,1624,1812.6
u212,739.5438,1111.1538,1016.8108,854.4992,1071.2913,925.0694,1134.0848,1861.4048,1877.8677,1264.8192,1490.1385,2248.2808
u223,1079.3542,1137.401,1124.0498,990.22284,1637.4238,1778.7654,1327.989,2279.9966,2505.8484,1268.4583,2575.2378,3490.8198
u239,793.788,899.994,1139.4004,819.13617,961.7992,1195.5608,1271.6046,1303.4747,1475.6382,1216.9696,1434.998,2027.5508
u240,920.6,1038.2,1026.6,1021.6,1238.8,1168.4,1177.2,1483,1662.6,1183.4,1930.2,2088.2
u242,1003.188,1256.0814,1383.1514,1215.4454,1186.3562,1342.5059,1490.8337,2181.8936,3031.454,1468.7528,2369.3813,2435.186
u243,887,911,1044,994.6,1330.2,1328.4,1085.2,1557.8,1510.8,1234.8,1779.8,1957.8